"","Announcement","Death","Burial","Burial_Day","Burial_Week","Gender","Color","Size","Word_Count","No_of_Children","Significant_Children","Significant_Relatives","Fundraising","Death_to_Burial","Announce_to_Burial","No_of_Relatives","County_Burial","County_Morgue","Distance_Morgue","Cause_of_Death","Married","Spouse_Alive","Spouse_gender","Death_to_Announce"
"1043",2017-03-06,2017-03-01,2017-03-08,"3",0,1,1,55.44,144,2,0,2,1,7,2,18,"22","11",152,"2",1,1,0,5
"1044",2017-03-06,2017-02-17,2017-03-10,"5",0,0,0,56.07,240,6,0,0,1,21,4,29,"27","27",1,"2",1,1,1,17
"1045",2017-03-06,2017-03-01,2017-03-08,"3",0,1,1,55.22,181,2,1,2,1,7,2,12,"22","11",152,"2",1,1,0,5
"1048",2017-03-06,2017-02-27,2017-03-08,"3",0,1,1,56.81,172,16,2,2,1,9,2,30,"22","11",152,"2",1,1,0,7
"1050",2017-03-06,2017-03-01,2017-03-11,"6",1,1,1,155.75,360,1,0,3,1,10,5,24,"30","23",108,"2",1,1,0,5
"1051",2017-03-06,2017-02-27,2017-03-08,"3",0,1,1,148.44,347,17,4,3,1,9,2,33,"29","29",1,"2",1,1,0,7
"1052",2017-03-06,2017-02-27,2017-03-07,"2",0,0,1,214.14,252,5,3,0,1,8,1,21,"8","23",4,"2",1,1,1,7
"1053",2017-03-06,2017-02-27,2017-03-08,"3",0,0,1,214.14,248,1,0,2,1,9,2,19,"11","11",1,"1",1,0,1,7
"1054",2017-02-10,2017-02-06,2017-02-16,"4",0,1,1,56.74,156,4,2,3,1,10,6,28,"23","23",1,"2",1,1,0,4
"1056",2017-02-10,2017-01-31,2017-02-18,"6",1,1,1,88.66,183,3,1,3,1,18,8,26,"30","30",1,"1",1,1,0,10
"1057",2017-02-10,2017-02-06,2017-02-11,"6",1,0,1,216,188,0,0,4,1,5,1,19,"3","23",110,"2",1,1,1,4
"1059",2017-02-10,2017-02-06,2017-02-14,"2",0,1,1,55.44,154,1,0,3,1,8,4,18,"23","11",27,"2",1,1,0,4
"1061",2017-02-10,2017-01-30,2017-02-11,"6",1,1,0,55.68,114,1,0,0,1,12,1,8,"23","23",1,"2",1,1,0,11
"1066",2017-02-10,2017-02-07,2017-02-16,"4",0,1,1,123.75,208,2,0,1,1,9,6,12,"17","23",148,"2",1,1,0,3
"1067",2017-02-10,2017-02-07,2017-02-16,"4",0,1,0,151.36,302,11,0,3,1,9,6,30,"23","23",1,"2",1,0,0,3
"1068",2017-02-10,2017-01-28,2017-02-11,"6",1,1,0,56.64,134,3,0,0,1,14,1,6,"9","9",1,"2",1,1,0,13
"1070",2017-02-10,2017-02-06,2017-02-17,"5",0,0,1,76.45,203,3,1,2,1,11,7,22,"17","17",1,"2",1,0,1,4
"1071",2017-02-10,2017-02-02,2017-02-14,"2",0,0,1,78.03,210,2,0,3,1,12,4,16,"11","17",163,"2",1,1,1,8
"1072",2017-02-10,2017-02-03,2017-02-17,"5",0,0,1,56.64,300,5,2,3,1,14,7,28,"17","17",1,"2",1,1,1,7
"1073",2017-02-10,2017-01-07,2017-02-17,"5",0,1,1,58.21,240,3,1,3,1,41,7,26,"11","23",27,"2",1,1,0,34
"1074",2017-02-10,2017-02-01,2017-02-17,"5",0,1,1,108.24,186,2,0,0,1,16,7,20,"11","17",1,"1",1,1,0,9
"1075",2017-02-10,2017-02-03,2017-02-17,"5",0,0,1,108.22,112,2,0,3,1,14,7,21,"11","11",1,"2",1,1,1,7
"1076",2017-02-10,2017-01-22,2017-02-14,"2",0,1,1,88.43,230,4,1,2,1,23,4,36,"22","23",168,"1",1,1,0,19
"1077",2017-02-10,2017-02-04,2017-02-13,"1",0,1,1,58.43,196,5,2,4,1,9,3,28,"23","14",1,"1",1,1,0,6
"1079",2017-02-10,2017-02-04,2017-02-13,"1",0,1,1,56.38,242,2,0,0,1,9,3,17,"31","23",58,"2",1,1,0,6
"1085",2017-02-10,2017-02-03,2017-02-14,"2",0,1,1,74.01,187,4,4,4,1,11,4,12,"29","23",23,"2",1,1,0,7
"1087",2017-02-10,2017-02-03,2017-02-11,"6",1,1,1,118.21,129,7,1,0,1,8,1,12,"22","22",1,"2",1,1,0,7
"1089",2017-02-21,2017-02-10,2017-02-25,"6",1,0,1,54.66,293,10,3,4,1,15,4,28,"30","30",1,"2",1,0,1,11
"1091",2017-02-21,2017-02-13,2017-02-25,"6",1,1,1,58.12,260,4,4,2,1,12,4,15,"17","17",1,"2",1,1,0,8
"1093",2017-02-21,2017-02-18,2017-02-24,"5",0,1,1,83.6,200,5,5,0,1,6,3,12,"9","23",1,"2",1,1,0,3
"1094",2017-02-21,2017-02-12,2017-02-25,"5",0,0,1,83.57,220,3,0,2,1,13,4,18,"14","23",85,"2",1,1,1,9
"1095",2017-02-21,2017-02-15,2017-02-25,"5",0,0,1,109.12,238,9,0,1,1,10,4,22,"10","14",27,"2",1,1,1,6
"1096",2017-02-21,2017-02-13,2017-02-21,"2",0,1,1,84.21,246,4,1,2,1,8,0,18,"23","23",1,"2",1,1,0,8
"1098",2017-02-21,2017-02-11,2017-02-23,"4",0,1,1,86.02,175,12,0,0,1,12,2,17,"14","14",1,"2",1,1,0,10
"1099",2017-02-21,2017-02-13,2017-02-23,"4",0,0,1,58.12,212,11,0,2,1,10,2,19,"27","27",1,"2",1,0,1,8
"1101",2017-02-21,2017-02-14,2017-02-24,"5",0,1,1,56.18,201,0,0,3,1,10,3,18,"24","24",1,"2",0,0,0,7
"1102",2017-02-21,2017-02-09,2017-02-24,"5",0,0,0,58.17,241,3,1,4,1,15,3,22,"10","10",1,"2",1,0,1,12
"1103",2017-02-21,2017-02-18,2017-02-25,"6",1,1,1,54.56,201,4,1,3,1,7,4,16,"17","17",1,"2",1,1,0,3
"1104",2017-02-21,2017-02-14,2017-03-03,"5",0,1,1,67.76,396,7,3,8,1,17,10,48,"13","13",1,"2",1,1,0,7
"1105",2017-02-21,0217-12-02,2017-03-01,"3",0,1,0,149.6,232,10,5,8,1,17,8,27,"7","12",1,"2",1,1,0,657153
"1107",2017-02-21,2017-02-12,2017-02-25,"6",1,1,1,56.44,168,14,0,0,1,13,4,8,"33","33",1,"2",1,0,0,9
"1109",2017-02-21,2017-02-20,2017-02-25,"6",1,1,1,78.68,119,2,0,1,1,5,4,10,"29","11",20,"1",1,1,0,1
"1110",2017-02-21,2017-02-14,2017-02-25,"6",1,0,1,76.55,137,4,2,3,1,11,4,34,"3","3",1,"2",1,1,1,7
"1112",2017-02-21,2017-02-17,2017-02-24,"5",0,1,1,77.34,230,8,3,4,1,7,3,33,"23","17",148,"2",1,1,0,4
